Feature,VIF
MSSubClass,82.91677745354647
LotFrontage,21.265981585937332
LotArea,3.0991532400916273
OverallQual,94.1920505735344
OverallCond,57.20226307631973
YearBuilt,45363.54975889172
YearRemodAdd,30025.247378377273
MasVnrArea,2.282744853790045
BsmtFinSF1,inf
BsmtFinSF2,inf
BsmtUnfSF,inf
TotalBsmtSF,inf
1stFlrSF,inf
2ndFlrSF,inf
LowQualFinSF,inf
GrLivArea,inf
BsmtFullBath,4.431709267451769
BsmtHalfBath,1.3883749377109338
FullBath,32.20793719702629
HalfBath,4.323806828656201
BedroomAbvGr,40.644939539164355
KitchenAbvGr,84.86281145585212
TotRmsAbvGrd,97.51423428312606
Fireplaces,3.420321972712557
GarageYrBlt,19892.67101083013
GarageCars,42.9109264243012
GarageArea,37.85962046878312
WoodDeckSF,2.139368889235668
OpenPorchSF,2.116370991289691
EnclosedPorch,1.6671053817588266
3SsnPorch,1.122407517376018
ScreenPorch,1.2749569299199586
PoolArea,1.3227926023937984
MiscVal,1.2134957185325526
MoSold,7.2589970337247784
YrSold,65690.08881779271
BldgType_2fmCon,7.811412993907823
BldgType_Duplex,4.518798190982485
BldgType_Twnhs,6.550979841754558
BldgType_TwnhsE,14.495076370739666
HouseStyle_1.5Unf,1.4052564204433031
HouseStyle_1Story,21.95608697362652
HouseStyle_2.5Fin,1.9799449396327125
HouseStyle_2.5Unf,1.4337683156444618
HouseStyle_2Story,8.72515423796703
HouseStyle_SFoyer,2.412485424376908
HouseStyle_SLvl,3.2483367082247456
Exterior1st_AsphShn,1.9476569294555104
Exterior1st_BrkComm,2.115970798149796
Exterior1st_BrkFace,12.969989248798532
Exterior1st_CBlock,inf
Exterior1st_CemntBd,36.66236824359863
Exterior1st_HdBoard,57.663966456383406
Exterior1st_ImStucc,1.3829974295512957
Exterior1st_MetalSd,75.46614462951959
Exterior1st_Plywood,27.468113040053606
Exterior1st_Stone,1.779484407892527
Exterior1st_Stucco,8.071588141094052
Exterior1st_VinylSd,150.87237291800244
Exterior1st_Wd Sdng,49.93005454129263
Exterior1st_WdShing,7.42108506986571
Exterior2nd_AsphShn,2.6156496925321
Exterior2nd_Brk Cmn,3.4001419912803725
Exterior2nd_BrkFace,7.313114287798599
Exterior2nd_CBlock,inf
Exterior2nd_CmentBd,36.25780111517987
Exterior2nd_HdBoard,52.62811758546737
Exterior2nd_ImStucc,3.4376930009696256
Exterior2nd_MetalSd,72.84189912036756
Exterior2nd_Other,1.3240449671637387
Exterior2nd_Plywood,34.2444555436607
Exterior2nd_Stone,2.3897427224969516
Exterior2nd_Stucco,8.016187011804899
Exterior2nd_VinylSd,144.38263293238086
Exterior2nd_Wd Sdng,46.907783340248805
Exterior2nd_Wd Shng,9.907797603972782
RoofStyle_Gable,121.32683784684951
RoofStyle_Gambrel,2.4699067243170933
RoofStyle_Hip,31.596752269756866
RoofStyle_Mansard,1.97098820177708
RoofStyle_Shed,1.4432055637084462
ExterQual_Fa,2.5252862355201824
ExterQual_Gd,19.2323938160761
ExterQual_TA,43.64991616318618
ExterCond_Fa,12.477817001890685
ExterCond_Gd,57.344686758880194
ExterCond_Po,1.5445479599993104
ExterCond_TA,504.10706288061203
Foundation_CBlock,10.356410617724261
Foundation_PConc,13.008780579312187
Foundation_Slab,2.2488807991141324
Foundation_Stone,1.2003609006841665
Foundation_Wood,1.1755505413239484
HeatingQC_Fa,1.4776747150562213
HeatingQC_Gd,1.7787843923725728
HeatingQC_Po,1.140424986098248
HeatingQC_TA,3.110419814016498
KitchenQual_Fa,2.4939088480076665
KitchenQual_Gd,12.276175197833593
KitchenQual_TA,19.3756304219206
GarageType_Attchd,197.85739920622606
GarageType_Basment,5.237791553933069
GarageType_BuiltIn,19.8676695978148
GarageType_CarPort,3.0549500791810615
GarageType_Detchd,79.45646593242391
GarageFinish_RFn,2.740893375771018
GarageFinish_Unf,6.824292254076339
SaleType_CWD,1.2177126123942625
SaleType_Con,1.1336319176195915
SaleType_ConLD,1.4963159020971044
SaleType_ConLI,1.2124904774314125
SaleType_ConLw,1.2741917814571389
SaleType_New,50.825740574837255
SaleType_Oth,1.170843875885423
SaleType_WD,39.832440312501284
SaleCondition_AdjLand,1.3661509153818292
SaleCondition_Alloca,1.4950514846151737
SaleCondition_Family,1.3596058113542218
SaleCondition_Normal,17.316859052910683
SaleCondition_Partial,48.45790635750248
PavedDrive_P,1.5326228894184524
PavedDrive_Y,25.750778723129866
MSZoning_FV,10.188411262984067
MSZoning_RH,3.2003536189249853
MSZoning_RL,158.39734459213332
MSZoning_RM,29.70865913149477
BsmtQual_Fa,2.23139051568676
BsmtQual_Gd,11.506508773424168
BsmtQual_TA,19.71766428390851
BsmtExposure_Gd,2.0713487249278506
BsmtExposure_Mn,1.8387460453267097
BsmtExposure_No,8.056622863411302
BsmtFinType1_BLQ,2.022624500453037
BsmtFinType1_GLQ,4.585773653338826
BsmtFinType1_LwQ,1.813002798938015
BsmtFinType1_Rec,2.0659992792296005
BsmtFinType1_Unf,6.734175653662296
BsmtFinType2_BLQ,3.3697550260549956
BsmtFinType2_GLQ,1.9970674069744097
BsmtFinType2_LwQ,4.433718034579792
BsmtFinType2_Rec,4.7329074150907005
BsmtFinType2_Unf,129.3188995963456
Neighborhood_Encoded,34.22449665375795
